publish_time,Video ID,Title,Comment,updatedAt,likeCount,polarity,subjectivity
2015-07-08T15:56:45.000Z,BQmllwTKtqU,Disney&#39;s The Finest Hours - Trailer 1,Eric Bana? Military theme? Sold!,2015-07-10 14:24:08,0,-0.125,0.1
2015-07-08T15:56:45.000Z,BQmllwTKtqU,Disney&#39;s The Finest Hours - Trailer 1,This caught my eye from advertising  on a YouTube video. I wanna see this for sure. ,2015-07-10 12:55:28,0,0.5,0.8888888888888888
2015-07-08T15:56:45.000Z,BQmllwTKtqU,Disney&#39;s The Finest Hours - Trailer 1,Looks good!,2015-07-10 11:28:41,1,0.875,0.6000000000000001
2015-07-08T15:56:45.000Z,BQmllwTKtqU,Disney&#39;s The Finest Hours - Trailer 1,The song from 1:03 is Zella Day - Compass,2015-07-10 08:52:20,7,0.0,0.0
2015-07-08T15:56:45.000Z,BQmllwTKtqU,Disney&#39;s The Finest Hours - Trailer 1,"Pretty full on for Disney, trying to scare kids from the ocean? Whats that about?",2015-07-10 07:34:30,1,0.3,0.775
2015-07-08T15:56:45.000Z,BQmllwTKtqU,Disney&#39;s The Finest Hours - Trailer 1,USCG to the rescue !,2015-07-10 07:16:27,0,0.0,0.0
2015-07-08T15:56:45.000Z,BQmllwTKtqU,Disney&#39;s The Finest Hours - Trailer 1,"This should be called "" Selfless "" . Not the other one.",2015-07-10 07:15:43,0,-0.125,0.375
2015-07-08T15:56:45.000Z,BQmllwTKtqU,Disney&#39;s The Finest Hours - Trailer 1,This movie looks like crap,2015-07-10 07:14:45,0,-0.8,0.8
2015-07-08T15:56:45.000Z,BQmllwTKtqU,Disney&#39;s The Finest Hours - Trailer 1,Semper Paratus.,2015-07-10 04:37:35,0,0.0,0.0
2015-07-08T15:56:45.000Z,BQmllwTKtqU,Disney&#39;s The Finest Hours - Trailer 1,Zella♡,2015-07-10 01:33:17,0,0.0,0.0
2015-07-08T15:56:45.000Z,BQmllwTKtqU,Disney&#39;s The Finest Hours - Trailer 1,P.s Is Touchstone Pictures dead when making movies?,2015-07-10 00:46:28,0,-0.2,0.4
2015-07-08T15:56:45.000Z,BQmllwTKtqU,Disney&#39;s The Finest Hours - Trailer 1,I think in my opinion that Disney is now Mature more of a Entertainment brand and not solely on Family market. I think Disney is more like Touchstone Pictures of 2016 because it is a Disaster / Action/ Thriller/ true Story Film.,2015-07-10 00:44:07,0,0.36250000000000004,0.4375
2015-07-08T15:56:45.000Z,BQmllwTKtqU,Disney&#39;s The Finest Hours - Trailer 1,sounds good .. a different and interesting history !,2015-07-09 22:44:22,1,0.44166666666666665,0.5666666666666668
2015-07-08T15:56:45.000Z,BQmllwTKtqU,Disney&#39;s The Finest Hours - Trailer 1,"In a word....AWESOME trailer! I'm very glad Disney got the rights to the story and film, and very proud of the men and women of the Coast Guard, past and present! Parts of the film were filmed on location in MA, Chatham, Cohasset, Brant Rock, and in the one of the main warehouses at the old General Dynamics Shipyard in Quincy MA. That's were the close-up water scenes were filmed in a giant wave pool they built in ground. Would love to see the premiere of the movie here in MA. Thank you Disney!!",2015-07-09 22:15:54,0,0.2775462962962963,0.5425925925925925
2015-07-08T15:56:45.000Z,BQmllwTKtqU,Disney&#39;s The Finest Hours - Trailer 1,Pixar would probz do it better.,2015-07-09 22:01:52,0,0.5,0.5
2015-07-08T15:56:45.000Z,BQmllwTKtqU,Disney&#39;s The Finest Hours - Trailer 1,I pissed out the far right window at 55 seconds when I was black out at a school dance. Good to see its making a comeback.,2015-07-09 21:44:00,0,0.22976190476190475,0.6422619047619047
2015-07-08T15:56:45.000Z,BQmllwTKtqU,Disney&#39;s The Finest Hours - Trailer 1,what is the music that starts at 1:43?,2015-07-09 20:56:06,0,0.0,0.0
2015-07-08T15:56:45.000Z,BQmllwTKtqU,Disney&#39;s The Finest Hours - Trailer 1,Is there a single POC in this film?,2015-07-09 19:37:19,0,-0.07142857142857142,0.21428571428571427
2015-07-08T15:56:45.000Z,BQmllwTKtqU,Disney&#39;s The Finest Hours - Trailer 1,It seems like just yesterday that Disney strove to make sure no one died in their movies.,2015-07-09 18:34:25,3,0.5,0.8888888888888888
2015-07-08T15:56:45.000Z,BQmllwTKtqU,Disney&#39;s The Finest Hours - Trailer 1,Another movie trailer giving away to much,2015-07-09 17:50:38,0,0.2,0.2
2015-07-08T15:56:45.000Z,BQmllwTKtqU,Disney&#39;s The Finest Hours - Trailer 1,Meh....boring. I will just wait for the Blue Ray to come out,2015-07-09 16:20:41,0,0.0,0.1
2015-07-08T15:56:45.000Z,BQmllwTKtqU,Disney&#39;s The Finest Hours - Trailer 1,This looks quite good...,2015-07-09 15:37:06,0,0.7,0.6000000000000001
2015-07-08T15:56:45.000Z,BQmllwTKtqU,Disney&#39;s The Finest Hours - Trailer 1,"If this is TRUE story - I take my hat off to naval engineers. To design a tanker that would stay afloat when cut in half, and in such weather? It's a mechanical feat worthy of Da Vinci.",2015-07-09 15:01:06,150,0.10333333333333332,0.4833333333333333
2015-07-08T15:56:45.000Z,BQmllwTKtqU,Disney&#39;s The Finest Hours - Trailer 1,"This song ""Compass"" is beautiful, great choice for this trailer",2015-07-09 14:44:12,3,0.825,0.875
2015-07-08T15:56:45.000Z,BQmllwTKtqU,Disney&#39;s The Finest Hours - Trailer 1,CD/DVD,2015-07-09 13:41:56,0,0.0,0.0
2015-07-08T15:56:45.000Z,BQmllwTKtqU,Disney&#39;s The Finest Hours - Trailer 1,"can someone tell me what's the name of the song in trailer ?
1:03",2015-07-09 12:52:24,0,0.0,0.0
2015-07-08T15:56:45.000Z,BQmllwTKtqU,Disney&#39;s The Finest Hours - Trailer 1,Looks awesome.  I be looking for it,2015-07-09 09:38:42,0,1.0,1.0
2015-07-08T15:56:45.000Z,BQmllwTKtqU,Disney&#39;s The Finest Hours - Trailer 1,So happy to hear Zella Day used in this! She's really talented and the world needs to hear her! :),2015-07-09 08:34:01,1,0.7916666666666666,0.9666666666666667
2015-07-08T15:56:45.000Z,BQmllwTKtqU,Disney&#39;s The Finest Hours - Trailer 1,"That's quite a cast, but the story looks a little allover the place. Hope it winds up being good.",2015-07-09 08:00:49,0,0.25625,0.55
2015-07-08T15:56:45.000Z,BQmllwTKtqU,Disney&#39;s The Finest Hours - Trailer 1,THE HULK IS IN THIS MOVIE,2015-07-09 07:42:50,0,0.0,0.0
2015-07-08T15:56:45.000Z,BQmllwTKtqU,Disney&#39;s The Finest Hours - Trailer 1,whats the name of the song at 1:03?,2015-07-09 07:17:10,0,0.0,0.0
2015-07-08T15:56:45.000Z,BQmllwTKtqU,Disney&#39;s The Finest Hours - Trailer 1,I'll never get it...they always put Boston actors in these Boston movies and they are the only ones that sound normal...Chris Pine and Holliday Grainger sound just as bad as that wife on Ray Donovan and Tom Hanks in Catch me if you can...just don't over act. keep it simple,2015-07-09 06:53:26,0,0.02000000000000004,0.5647619047619047
2015-07-08T15:56:45.000Z,BQmllwTKtqU,Disney&#39;s The Finest Hours - Trailer 1,"I know a video is good when i get goosebumps watching it,",2015-07-09 06:46:26,87,0.7,0.6000000000000001
2015-07-08T15:56:45.000Z,BQmllwTKtqU,Disney&#39;s The Finest Hours - Trailer 1,Look! It's Hal Jordan!,2015-07-09 06:40:43,0,0.0,0.0
2015-07-08T15:56:45.000Z,BQmllwTKtqU,Disney&#39;s The Finest Hours - Trailer 1,"This story is similar to the sinking of the S.S Carl D. Bradley. The Bradley was built in Ohio in 1927, and served until November 18th 1958 when she broke in two on Lake Michigan. Of the 35 men on board. Only two survived when they were saved by the Coast Guard vessel Sundew.",2015-07-09 06:08:41,0,0.0,0.7
2015-07-08T15:56:45.000Z,BQmllwTKtqU,Disney&#39;s The Finest Hours - Trailer 1,"This movie looks awesome!! By the way two T-2 tankers are still in use today. The Lee A. Tregurtha, and the American Victory. However they were rebuilt in the early 60's for the Great Lakes iron ore trade. The only way you can tell that they were T-2 tankers is the stern, and the shape of the bow. ",2015-07-09 05:52:55,0,0.38,0.61
2015-07-08T15:56:45.000Z,BQmllwTKtqU,Disney&#39;s The Finest Hours - Trailer 1,Chris Pine. Dat accent tho. I'll see it.,2015-07-09 03:19:52,0,0.0,0.0
2015-07-08T15:56:45.000Z,BQmllwTKtqU,Disney&#39;s The Finest Hours - Trailer 1,wheres mark wahlberg and his goat beard?,2015-07-09 03:06:51,0,0.0,0.0
2015-07-08T15:56:45.000Z,BQmllwTKtqU,Disney&#39;s The Finest Hours - Trailer 1,looks wicked pissah,2015-07-09 03:01:28,0,0.0,0.0
2015-07-08T15:56:45.000Z,BQmllwTKtqU,Disney&#39;s The Finest Hours - Trailer 1,The accent is horrible.,2015-07-09 02:42:40,0,-1.0,1.0
2015-07-08T15:56:45.000Z,BQmllwTKtqU,Disney&#39;s The Finest Hours - Trailer 1,The effects look like garbage.  Hopefully they get cleaned up before they actually release this thing,2015-07-09 01:08:41,0,0.0,0.1
2015-07-08T15:56:45.000Z,BQmllwTKtqU,Disney&#39;s The Finest Hours - Trailer 1,I live in Chatham MA! Das my hometown!!,2015-07-09 00:43:56,0,0.26633522727272724,0.5
2015-07-08T15:56:45.000Z,BQmllwTKtqU,Disney&#39;s The Finest Hours - Trailer 1,"Well, this looks embarrassingly shitty.",2015-07-08 23:55:17,1,0.0,0.0
2015-07-08T15:56:45.000Z,BQmllwTKtqU,Disney&#39;s The Finest Hours - Trailer 1,"The song is ""Compass"" by Zella Day.",2015-07-08 23:33:00,1,0.0,0.0
2015-07-08T15:56:45.000Z,BQmllwTKtqU,Disney&#39;s The Finest Hours - Trailer 1,I really only watched because of Zella tbh,2015-07-08 22:35:40,1,0.0,1.0
2015-07-08T15:56:45.000Z,BQmllwTKtqU,Disney&#39;s The Finest Hours - Trailer 1,aaayyyyyeeeee Zella Day <3,2015-07-08 22:35:03,1,1.0,1.0
2015-07-08T15:56:45.000Z,BQmllwTKtqU,Disney&#39;s The Finest Hours - Trailer 1,Ha I live in Chatham.,2015-07-08 22:21:54,0,0.13636363636363635,0.5
2015-07-08T15:56:45.000Z,BQmllwTKtqU,Disney&#39;s The Finest Hours - Trailer 1,Holy shit that cast is insane ,2015-07-08 22:21:21,0,-0.6,0.9
2015-07-08T15:56:45.000Z,BQmllwTKtqU,Disney&#39;s The Finest Hours - Trailer 1,I life in marshfield ma were some of it was filmed!,2015-07-08 22:00:30,0,0.0,0.0
2015-07-08T15:56:45.000Z,BQmllwTKtqU,Disney&#39;s The Finest Hours - Trailer 1,Isn't that one of the stepsister in Cinderella? ,2015-07-08 21:48:19,21,0.0,0.0
2015-07-08T15:56:45.000Z,BQmllwTKtqU,Disney&#39;s The Finest Hours - Trailer 1,As someone who spends some time in Chatham this is a must see. I believe it's the rescue of the crew from the Pendleton.,2015-07-08 21:29:50,0,0.0,0.0
2015-07-08T15:56:45.000Z,BQmllwTKtqU,Disney&#39;s The Finest Hours - Trailer 1,"Casey Affleck outworked everybody in this movie, you'll see and feel as if he's the main actor!",2015-07-08 21:22:48,0,0.20833333333333331,0.3333333333333333
2015-07-08T15:56:45.000Z,BQmllwTKtqU,Disney&#39;s The Finest Hours - Trailer 1,"Read the book. Absolutely incredible, and I don't think that this will disappoint.",2015-07-08 21:05:47,0,0.9,0.9
2015-07-08T15:56:45.000Z,BQmllwTKtqU,Disney&#39;s The Finest Hours - Trailer 1,Mar em Fúria versão Disney.,2015-07-08 20:40:12,1,0.0,0.0
2015-07-08T15:56:45.000Z,BQmllwTKtqU,Disney&#39;s The Finest Hours - Trailer 1,"The Perfect Storm Part 2, i'll give it a watch..",2015-07-08 19:51:45,0,1.0,1.0
